玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♠3', '♠2', '♦2', '♣4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥3', '♣7', '♥Q', '♥7', '♠T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠K', '♠6', '♠Q', '♣Q', '♥8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠9', '♣K', '♣9', '♣J', '♠6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥K', '♦Q', '♦6', '♥4', '♥5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠7', '♣Q', '♠Q', '♦2', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣Q', '♦6', '♥7', '♥T', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣2', '♣9', '♣3', '♥Q', '♥9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠Q', '♣Q', '♥9', '♣6', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♥Q', '♠3', '♠9', '♠5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♠Q', '♦3', '♠8', '♥5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♠2', '♣5', '♦4', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥4', '♠K', '♥J', '♦4', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥K', '♦3', '♥Q', '♥T', '♦2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣4', '♠T', '♠4', '♠8', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥K', '♠4', '♦2', '♣Q', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥J', '♠T', '♣2', '♣6', '♥K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣8', '♥T', '♠4', '♥8', '♦4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠J', '♦K', '♣Q', '♣3', '♠4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♥8', '♥Q', '♣8', '♥K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♥T', '♠2', '♠4', '♥3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♠3', '♣8', '♥9', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♥9', '♦9', '♦K', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♦7', '♣9', '♠Q', '♠7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♦3', '♠8', '♣7', '♥K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♥J', '♦J', '♣T', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♥7', '♦9', '♦4', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♣8', '♥3', '♥6', '♠4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣2', '♠8', '♥2', '♥J', '♣7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣6', '♠8', '♠3', '♠4', '♥2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♦5', '♠2', '♦6', '♥6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥J', '♥K', '♣4', '♠8', '♣T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♠7', '♦Q', '♦K', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥8', '♥J', '♣K', '♦6', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♦6', '♦J', '♥7', '♥9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♥9', '♦9', '♦4', '♥5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣J', '♥J', '♦3', '♦Q', '♣4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥3', '♠Q', '♥7', '♦K', '♣T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♦Q', '♣6', '♥3', '♥5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♥8', '♥5', '♣3', '♦8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♠J', '♦7', '♣4', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♣T', '♣6', '♠K', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♣2', '♥T', '♠3', '♣T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥5', '♣8', '♠6', '♦K', '♣J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♥2', '♣9', '♦5', '♥T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣Q', '♥7', '♥J', '♥2', '♣3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣4', '♦7', '♣8', '♦6', '♠7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♣4', '♣3', '♦3', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦2', '♦7', '♠9', '♦5', '♥6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♦3', '♥6', '♥3', '♦4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♦J', '♠4', '♣8', '♥6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♠K', '♥3', '♦2', '♣Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♣J', '♠Q', '♠3', '♦3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♠6', '♣Q', '♦5', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♥4', '♠J', '♠3', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣Q', '♦Q', '♦5', '♣K', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♥4', '♠8', '♠5', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥4', '♦2', '♥5', '♦Q', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♥9', '♣8', '♣T', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠Q', '♠6', '♥J', '♠T', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦J', '♠9', '♥2', '♠5', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣5', '♠K', '♣9', '♣Q', '♠7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣3', '♦2', '♠Q', '♥J', '♦T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠6', '♣5', '♣7', '♥T', '♥9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠K', '♦7', '♣8', '♠7', '♦8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥3', '♣4', '♦2', '♠T', '♦5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠8', '♠J', '♣5', '♥5', '♠4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠9', '♠8', '♦K', '♥K', '♦J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣2', '♠7', '♣J', '♠2', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♦2', '♥T', '♥3', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♠T', '♠K', '♥J', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♣Q', '♥4', '♣8', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♦J', '♠5', '♦T', '♥3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♣K', '♣6', '♦Q', '♥J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♦J', '♣J', '♠5', '♥Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥K', '♥Q', '♠K', '♥9', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥8', '♥5', '♠Q', '♦7', '♦J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♥5', '♠3', '♣K', '♦3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦J', '♠4', '♣T', '♥9', '♥Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♠8', '♦K', '♥8', '♠4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♦3', '♦5', '♣J', '♣9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♣3', '♠4', '♦9', '♣4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣5', '♥K', '♠T', '♥6', '♥7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠6', '♥9', '♣Q', '♣7', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠8', '♦J', '♠K', '♥J', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦J', '♣9', '♣Q', '♣5', '♥9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣3', '♦2', '♣9', '♦T', '♥5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♥9', '♣2', '♥4', '♣T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥4', '♠5', '♥8', '♦7', '♦4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠8', '♣3', '♣T', '♠5', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥J', '♠K', '♣3', '♠9', '♦8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣K', '♦K', '♣6', '♠7', '♠J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣J', '♣3', '♣T', '♦3', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♥Q', '♦9', '♣2', '♣J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠4', '♥8', '♥9', '♦7', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♣3', '♣Q', '♣J', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠K', '♦K', '♠J', '♦Q', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥J', '♦2', '♠9', '♦7', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥5', '♣5', '♦8', '♥T', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥2', '♥8', '♦Q', '♠8', '♦T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣6', '♦3', '♥3', '♥4', '♦5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♠2', '♥8', '♦2', '♣3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠3', '♠J', '♥2', '♠6', '♦5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠7', '♥Q', '♥K', '♥5', '♣6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣J', '♠J', '♥9', '♣K', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣7', '♦4', '♠9', '♥4', '♥7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣8', '♠2', '♦T', '♥5', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦K', '♣Q', '♣T', '♦6', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♠Q', '♣5', '♦J', '♣6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦8', '♣4', '♠4', '♦3', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♣6', '♥K', '♦Q', '♠K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠K', '♣K', '♦6', '♠Q', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥8', '♦K', '♣2', '♠K', '♦2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠T', '♦J', '♦4', '♣3', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦K', '♠7', '♠4', '♦2', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♥3', '♠3', '♥7', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♠J', '♣6', '♠8', '♦J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦8', '♠T', '♦3', '♠2', '♣2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠3', '♦7', '♣6', '♦6', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♣J', '♣2', '♦8', '♠J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣K', '♥Q', '♠Q', '♦4', '♥6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♦5', '♣Q', '♦9', '♥J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣5', '♣8', '♠9', '♠2', '♥8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥2', '♥9', '♦4', '♥3', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣3', '♦T', '♠T', '♣2', '♠K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣3', '♣4', '♦5', '♥8', '♠Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣7', '♦2', '♦T', '♠6', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣7', '♣6', '♣3', '♥4', '♠5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♣2', '♥5', '♣9', '♣7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♣8', '♦8', '♦4', '♣9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥Q', '♦T', '♦3', '♦J', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣K', '♣2', '♦8', '♥K', '♠5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♠7', '♣Q', '♣6', '♠Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦2', '♣J', '♥K', '♠9', '♣9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣5', '♠9', '♣Q', '♥T', '♦4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠4', '♣4', '♦K', '♦T', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣4', '♠8', '♥2', '♠5', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠8', '♥2', '♣T', '♠J', '♦J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦6', '♠8', '♥6', '♦J', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥3', '♣3', '♥K', '♦3', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦J', '♣3', '♣4', '♠J', '♠T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♠8', '♣T', '♠J', '♣7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠2', '♣7', '♦5', '♠J', '♣6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣2', '♥K', '♣8', '♠6', '♠J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣8', '♥7', '♥8', '♣4', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♦5', '♦6', '♥K', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣7', '♣Q', '♥7', '♠5', '♦T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♣9', '♠8', '♦7', '♣2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦8', '♥3', '♠K', '♣Q', '♥J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠4', '♠2', '♠9', '♦J', '♦8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♣9', '♠5', '♦T', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦2', '♥4', '♠K', '♣9', '♠Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣9', '♠3', '♥T', '♦4', '♠T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥3', '♣3', '♥2', '♠3', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♦T', '♣6', '♠9', '♥8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦5', '♥4', '♣T', '♠5', '♥K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♣8', '♦7', '♣7', '♠5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠5', '♣6', '♣5', '♥3', '♣2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥8', '♣8', '♣7', '♦3', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦T', '♠5', '♥4', '♦8', '♠K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♠3', '♦T', '♣2', '♣8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣6', '♣9', '♦4', '♣8', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣Q', '♦7', '♠T', '♠J', '♦J']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠7', '♦K', '♠6', '♦9', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♦3', '♦6', '♣4', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣6', '♠K', '♣Q', '♣2', '♦6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦2', '♥5', '♣3', '♥3', '♣4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣4', '♥8', '♥J', '♣7', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♣K', '♦9', '♥T', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♥8', '♦J', '♣Q', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠T', '♦4', '♥T', '♥7', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠Q', '♥K', '♠4', '♠8', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♦Q', '♠8', '♦8', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣4', '♠J', '♦7', '♦9', '♥3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣9', '♠J', '♥3', '♦8', '♦K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥8', '♦T', '♣J', '♠T', '♠6']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♠4', '♥2', '♦J', '♦2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♠T', '♠J', '♦6', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♠9', '♥8', '♠Q', '♦2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣8', '♣5', '♣K', '♦2', '♦8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♥2', '♥J', '♦8', '♦9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥7', '♦7', '♠2', '♠4', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣Q', '♣T', '♦8', '♣K', '♥T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♣2', '♣3', '♠4', '♥T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♦7', '♥3', '♥J', '♣2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠7', '♠8', '♦8', '♦6', '♣9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥T', '♦4', '♣K', '♠9', '♠3']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦9', '♦5', '♥7', '♣7', '♣4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠Q', '♣9', '♦9', '♦Q', '♠8']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠9', '♥9', '♣8', '♦K', '♠5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦8', '♥8', '♥T', '♦6', '♥9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠J', '♥J', '♣K', '♥5', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦Q', '♠4', '♣Q', '♥4', '♥T']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♥6', '♦8', '♥T', '♣9', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠2', '♦Q', '♠9', '♥9', '♥K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦4', '♥Q', '♠Q', '♣9', '♠9']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣9', '♥3', '♠K', '♠6', '♦7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣T', '♦2', '♣7', '♠J', '♥7']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣3', '♦2', '♥3', '♣7', '♦Q']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦3', '♥J', '♦K', '♥5', '♥4']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣2', '♠8', '♠2', '♣6', '♣K']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♠8', '♥2', '♣4', '♠3', '♠2']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♦7', '♠K', '♠4', '♥4', '♣5']
玩家1: ['♠A', '♥A'], 玩家2: ['♣A', '♦A'], 公共牌: ['♣6', '♠J', '♣J', '♥T', '♠4']
